['Product Name'],['Rating'],['Link']
Diggy Anti Theft Backpack with USB Charging Port 15.6 Inch Laptop Waterproof Casual Unisex Bag for School College Office Suitable for Men Women (grey),3.3 out of 5 stars,/Diggy-Backpack-Charging-Waterproof-Suitable/dp/B09N25XNKW
Caprese Women's Tote Bag (Brown),4.3 out of 5 stars,/Caprese-Womens-Tote-bag-Brown/dp/B09FT3MW7L
Caprese Women's Tote Bag (Brown),4.3 out of 5 stars,/Caprese-Womens-Tote-bag-Brown/dp/B09FT3MW7L
"Storite PU Leather 15.6 Inch Padded Laptop Shoulder Sling Office Business Organizer Messenger Travel Bag for Men & Women (Coffee Brown,39 x 30 x 9 cm)",3.9 out of 5 stars,/Storite-Laptop-Shoulder-Messenger-Bag/dp/B08WZ9KP7Q
Half Moon 35 L Casual Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School with Rain Cover (Black),4.0 out of 5 stars,/Half-Moon-Resistant-Laptop-Backpack/dp/B09842K4RQ
"HOT DELIVERY BAGS Insulated and Waterproof Door Hanging Bag for Milk Sachets and Bottles Storage, Durable and Light Weight (Sea Green)",4.5 out of 5 stars,/HOT-DELIVERY-BAG-Insulated-waterproof/dp/B08VJ4VWGZ
"ZIPLINE Synthetic Leather Executive SMALL messenger bag for upto 13"" Laptop/Tablet for men women with multiple compartments (1-Brown Bag)",3.9 out of 5 stars,/Leatherette-Executive-messenger-multiple-compartments/dp/B099NM3GFZ
ZOUK Women's Messenger Bag (Beige),4.3 out of 5 stars,/Business-Shoulder-Leather-material-resistant/dp/B07MH9SL51
Wildcraft 31 Ltrs 18.50 inchs Backpack (11954 Blue_Blue),4.3 out of 5 stars,/Wildcraft-Music-Backpack-Blue-11954/dp/B07N2PDVX4
Dell Essential Backpack 15 (ES1520P),4.0 out of 5 stars,/Dell-Essential-Backpack-15-ES1520P/dp/B07TTCXHRH
